czone,has_insurance,cs_frac_black,cs_frac_hisp,gt_hs_educ,has_medicaid,hosp_beds,inctot,median_house_value,occupancy,physical_disab,poor_share,pymt_charity_patients,reimb_penroll_adj10,share_hosp_forprofit,share_hosp_teaching,uncomp_charity_patients
3400,0.8655619477772388,0.1991856002807617,0.01603375554084778,0.23446868360042572,0.11536317288401934,688.5593516031901,10.24368152992937,104789.31058533763,0.35076063871383667,0.09377830475568771,0.19378113746643064,353599.9479166667,10396.068359375,0.1821133295694987,0.25,22054464.184895832
3500,0.9124393306511468,0.33265678405761717,0.016264114379882812,0.35399892926216125,0.14527201108685783,2226.824115753174,10.27533330174412,127021.1704060683,0.28641825914382935,0.08241570740938187,0.17834022641181946,9125528.611979166,11543.23046875,0.00462385763724644,0.6666666865348816,61265758.04427083
3600,0.8888972729307103,0.28245834350585936,0.0126316237449646,0.2583829164505005,0.15980403560473103,774.2127888997396,10.13188562190075,90820.7270100752,0.4145655532677968,0.12259140610694884,0.21798133850097656,676218.4375,11850.013671875,0.7482864260673523,1,23810853.884114586
3700,0.8892604255737095,0.20512561798095702,0.022964043617248533,0.2844025790691376,0.1319226584231069,901.3096516927084,10.270913817826557,98259.94471218206,0.4155876040458679,0.10110785067081451,0.16146017611026764,544926.2630360922,11470.9716796875,0.4946290651957194,0.2777777860562007,29914796.772135414
3800,0.87848259839962,0.2701777267456055,0.013259047269821167,0.26636821031570435,0.1466485138060898,1729.5655314127605,10.296108058295957,104074.4933476253,0.3802146812280019,0.08614400774240494,0.22089342772960663,10973337.725016275,11390.25,0.20827353497346243,0.380952388048172,38591320.63610331
3901,0.8461999672696687,0.33670108795166015,0.011745799779891968,0.2637089490890503,0.14164388581965096,1115.874754587809,10.141542741327047,92426.24190758796,0.29199299216270447,0.09291573613882063,0.2249891012907028,169118.2130533854,12854.44140625,0.14873584111531576,0.1666666716337204,36215176.2578125
3902,0.8407843876300306,0.3962272644042969,0.012790430784225464,0.205417662858963,0.15055914128551526,56,10.027601671093384,57366.3276146789,0.4215194284915924,0.10950024425983428,0.30579885840415955,35982.353841145836,13306.8115234375,0.5,0,2641319.2708333335
4001,0.9039002662913096,0.3603711700439453,0.010450208187103271,0.265823096036911,0.1261176692799807,46.49589029947917,10.068145048094816,66969.5950304735,0.30733227729797363,0.12349360436201096,0.2166012227535248,279.78070068359375,10017.267578125,0,1,383507.4791666667
4002,0.8834225765821322,0.3812554931640625,0.017084717750549316,0.31611180305480957,0.16048289771593366,2044.1647415161133,10.267473997321746,97648.9755462804,0.3641347587108612,0.0968877449631691,0.20682701468467712,1471529.990061442,11819.73046875,0.2650950451691945,0.5,82806381.734375
4003,0.8488831941678022,0.35459892272949217,0.009799465537071228,0.2451019436120987,0.16263688591156958,233.8431396484375,10.073296326741117,87053.85795203406,0.33237673838933307,0.11015360057353972,0.23868434131145477,74526.6171875,12545.5673828125,0.6666666865348816,0,750103.6575520834
4004,0.8578804181806184,0.16769683837890625,0.02736689567565918,0.2997675836086273,0.15923505528465337,48,10.129173318013336,81846.2,0.16241909066836038,0.100617878139019,0.21503974497318268,7228.104817708333,12540.75,1,0,373786.5416666667
4101,0.8773640836190514,0.26874303817749023,0.03205419301986694,0.2910270690917969,0.1684343597271883,25,10.092845690239209,74248.09999999999,0.4252314269542694,0.12895360589027405,0.17485471069812775,0,10278.8203125,0,0,404639.3958333333
